Deal ID,Effective Date,Stage,Amount,Owner,Name,Carrier Won,Close Date,URL,Bureau ID
2987506725,2020-10-04,Won,14820.2,Samad Wahedi,Souk Dari LLC - 2020 Renewal,Glow,10/04/2020,https://app.hubspot.com/contacts/6612994/deal/2987506725/,5277016
6730409592,2022-01-09,Won,933.0,Jared Goetz,Gilbert Electrical Services Inc [Hartford],Hartford,01/07/2022,https://app.hubspot.com/contacts/6612994/deal/6730409592/,5210574
1162563660,2019-08-01,Won,2531.0,Jeff Lange,Delhi Belly Bistro,Glow,08/01/2019,https://app.hubspot.com/contacts/6612994/deal/1162563660/,8747155
1162362968,2019-09-01,Won,9495.0,Jeff Lange,Zen Toro Japanese Bistro & Sushi Bar,Glow,09/10/2019,https://app.hubspot.com/contacts/6612994/deal/1162362968/,9966334
1162565830,2019-11-14,Won,6840.0,Jeff Lange,Covina Burgers,Glow,11/06/2019,https://app.hubspot.com/contacts/6612994/deal/1162565830/,7689361
1162563656,2019-10-08,Won,1506.0,Jeff Lange,Tea Rush,Glow,09/18/2019,https://app.hubspot.com/contacts/6612994/deal/1162563656/,5542012
1162581095,2019-09-26,Won,10908.0,Jeff Lange,Braise,Glow,09/25/2019,https://app.hubspot.com/contacts/6612994/deal/1162581095/,8565474
1162563657,2019-10-07,Won,4512.0,Jeff Lange,Tikiyaki,Glow,10/01/2019,https://app.hubspot.com/contacts/6612994/deal/1162563657/,9135092
1162362948,2019-10-27,Won,11412.0,Jeff Lange,Rib Ranch BBQ,Glow,10/25/2019,https://app.hubspot.com/contacts/6612994/deal/1162362948/,3219719
1162565827,2019-09-27,Won,6346.0,Jeff Lange,Flywheel Coffee Roasters,Glow,09/27/2019,https://app.hubspot.com/contacts/6612994/deal/1162565827/,6621351
1162570302,2019-10-04,Won,16128.0,Jeff Lange,Souk Dari LLC,Glow,10/08/2019,https://app.hubspot.com/contacts/6612994/deal/1162570302/,9879652
1162362965,2019-12-01,Won,3056.0,Jeff Lange,Glowing Juices/ Vegan Market,Glow,11/11/2019,https://app.hubspot.com/contacts/6612994/deal/1162362965/,8783718
1162351772,2019-12-01,Won,2124.0,Jeff Lange,The Bike Palace,Glow,12/02/2019,https://app.hubspot.com/contacts/6612994/deal/1162351772/,2314129
1162581097,2019-12-04,Won,10633.0,Jeff Lange,Turquoise Restaurant,Glow,11/07/2019,https://app.hubspot.com/contacts/6612994/deal/1162581097/,5425300
1162565814,2019-12-31,Won,1686.0,Jeff Lange,Tummy Stuffer,Glow,12/23/2019,https://app.hubspot.com/contacts/6612994/deal/1162565814/,5448648
1162565816,2019-12-15,Won,6956.0,Jeff Lange,Kachi Deli Cafe & Grill,Glow,12/05/2019,https://app.hubspot.com/contacts/6612994/deal/1162565816/,5060966
1162565823,2019-12-02,Won,1377.0,Jeff Lange,Pozzetto Italian Dining,Glow,12/02/2019,https://app.hubspot.com/contacts/6612994/deal/1162565823/,4251834
1162570306,2019-12-21,Won,10074.0,Jeff Lange,Bruchi's CheeseSteaks & Subs,Glow,12/18/2019,https://app.hubspot.com/contacts/6612994/deal/1162570306/,5581816
1198709791,2019-12-29,Won,1800.0,Jeff Lange,Street Churros,Glow,12/26/2019,https://app.hubspot.com/contacts/6612994/deal/1198709791/,8664286
1371122257,2020-03-01,Won,5536.0,Cindy Ma,Cake Among Us,Glow,02/25/2020,https://app.hubspot.com/contacts/6612994/deal/1371122257/,9987934
1386847236,2020-01-13,Won,3781.0,Jeff Lange,Mi Corazon,Glow,01/13/2020,https://app.hubspot.com/contacts/6612994/deal/1386847236/,5065965
1391075796,2020-01-14,Won,4091.0,Cindy Ma,The Poke Place,Glow,01/13/2020,https://app.hubspot.com/contacts/6612994/deal/1391075796/,9882584
1393941704,2020-01-24,Won,14888.0,Cindy Ma,Toast Cafe,Glow,01/24/2020,https://app.hubspot.com/contacts/6612994/deal/1393941704/,5362292
1394282396,2020-02-07,Won,1123.0,Cindy Ma,The Green Bean,Glow,01/29/2020,https://app.hubspot.com/contacts/6612994/deal/1394282396/,6804315
1398375957,2020-02-01,Won,2666.0,Cindy Ma,Linco Custom Picture Framing,Glow,01/16/2020,https://app.hubspot.com/contacts/6612994/deal/1398375957/,52753
1412008947,2020-02-08,Won,20081.0,Cindy Ma,The Galley Fish Tacos,Glow,02/07/2020,https://app.hubspot.com/contacts/6612994/deal/1412008947/,9824058
1412565931,2020-02-22,Won,975.0,Jeff Lange,Swirlz Creamery,Glow,01/23/2020,https://app.hubspot.com/contacts/6612994/deal/1412565931/,8555669
1417829729,2020-01-28,Won,7677.0,Cindy Ma,The Slice,Glow,01/31/2020,https://app.hubspot.com/contacts/6612994/deal/1417829729/,9983638
